2010-01-04,7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,6.487532138824463,217.488,14764.611,0.12
2010-01-05,7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,6.498749732971191,217.488,14764.611,0.12
2010-01-06,7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,6.395379066467285,217.488,14764.611,0.12
2010-01-07,7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,6.383556365966797,217.488,14764.611,0.1
2010-01-08,7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,6.425994873046875,217.488,14764.611,0.11
2010-01-11,7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,6.369308948516846,217.488,14764.611,0.11
2010-01-12,7.471070766448975,7.491786003112793,7.372142791748047,7.4185709953308105,6.296856880187988,217.488,14764.611,0.11
2010-01-13,7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,6.385677814483643,217.488,14764.611,0.11
2010-01-14,7.503929138183594,7.5164289474487305,7.465000152587891,7.479642868041992,6.348695755004883,217.488,14764.611,0.11
2010-01-15,7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,6.2425947189331055,217.488,14764.611,0.12
2010-01-19,7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,6.5187578201293945,217.488,14764.611,0.13
2010-01-20,7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,6.4184184074401855,217.488,14764.611,0.13
2010-01-21,7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,6.307467460632324,217.488,14764.611,0.12
2010-01-22,7.385000228881836,7.410714149475098,7.041429042816162,7.0625,5.994626045227051,217.488,14764.611,0.11
2010-01-25,7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,6.1558966636657715,217.488,14764.611,0.12
2010-01-26,7.3553571701049805,7.632500171661377,7.235000133514404,7.355000019073486,6.242899417877197,217.488,14764.611,0.12
2010-01-27,7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,6.301707744598389,217.488,14764.611,0.12
2010-01-28,7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,6.041309356689453,217.488,14764.611,0.12
2010-01-29,7.181428909301758,7.221428871154785,6.794642925262451,6.859285831451416,5.822138786315918,217.488,14764.611,0.12
2010-02-01,6.870357036590576,7.0,6.8321428298950195,6.9546427726745605,5.903076648712158,217.281,14764.611,0.14
2010-02-02,6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,5.937331676483154,217.281,14764.611,0.14
2010-02-03,6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,6.039491176605225,217.281,14764.611,0.13
2010-02-04,7.026071071624756,7.0846428871154785,6.841785907745361,6.85892915725708,5.82183313369751,217.281,14764.611,0.14
2010-02-05,6.879642963409424,7.0,6.816071033477783,6.980713844299316,5.925205707550049,217.281,14764.611,0.13
2010-02-08,6.98892879486084,7.067142963409424,6.9285712242126465,6.932857036590576,5.884584426879883,217.281,14764.611,0.13
